"index","theme_name","year","total_sets","prev_year_sets","growth"
"0","Supplemental","1966","71","3","68"
"1","Technic","2002","61","1","60"
"2","Nexo Knights","2016","51","","51"
"3","Bulk Bricks","2000","48","1","47"
"4","Soccer","2002","48","3","45"
"5","Service Packs","1987","45","1","44"
"6","Friends","2016","44","1","43"
"7","Ninjago","2011","42","","42"
"8","Studios","2001","44","4","40"
"9","Ninjago","2015","46","8","38"
