index,id,version,set_num,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id
174,251,1,3886-3,2935,Ryo Walker - Duracell 12 pack AA Battery Promotion,2007,389,1,547,389,Exo-Force,
175,253,1,5004267-1,4771,LEGO 1 stud Red Storage Brick,2014,501,0,584,501,Gear,
176,254,1,8812-1,10176,Aero Hawk II,1994,6,148,4,6,Airport,5.0
177,255,1,60024-3,5593,"Advent Calendar 2013, City (Day  2)",2013,220,11,208,220,City,217.0
178,256,1,630-1,6057,Brick Separator,1996,443,1,570,443,Service Packs,
179,258,1,8683-4,9963,Circus Clown - Complete Set,2010,536,6,450,536,Series 1 Minifigures,535.0
180,259,1,70137-1,7007,Bat Strike,2014,572,91,480,572,Speedorz,571.0
181,262,1,7953-1,8942,Court Jester,2010,196,22,186,196,Kingdoms,186.0
182,263,1,7575-1,8284,Advent Calendar 2004 Clikits,2004,213,24,201,213,Clikits,207.0
183,265,1,Nuremberg-1,11566,"LEGO Store Grand Opening Exclusive Set, Nuremberg (NÃ¼rnberg), Germany",2010,408,126,557,408,LEGO Brand Store,
184,267,1,40204-1,3181,Pilgrim's Feast,2016,231,163,219,231,Thanksgiving,206.0
185,268,1,6007-1,5666,Bat Lord,1997,195,16,185,195,Fright Knights,186.0
186,269,1,60067-1,5662,Helicopter Pursuit,2015,61,252,57,61,Police,52.0
187,272,1,10528-1,282,School Bus,2014,504,26,585,504,Duplo,
188,274,1,31-2,2333,Medium Ship Set,1973,453,21,384,453,Technic,443.0
189,275,1,C001-1,11067,LEGO Star Wars Clock,2008,501,0,584,501,Gear,
190,276,1,8684-3,9981,Circus Ringmaster - Complete Set,2010,537,6,451,537,Series 2 Minifigures,535.0
191,279,1,21008-1,1419,Burj Khalifa,2011,252,208,516,252,Architecture,
192,280,1,9614-1,10701,Pulley Set,1995,1,77,503,1,Technic,
193,282,1,850935-1,9562,Classic Minifigure Graduation Set,2014,501,27,584,501,Gear,
194,284,1,588-1,5454,Police Headquarters,1979,80,376,76,80,Police,67.0
195,285,1,851003-1,9577,LEGO® Super Heroes The Joker Key Chain,2014,503,0,420,503,Key Chain,501.0
196,286,1,75056-12,8050,Advent Calendar 2014 Star Wars (Day 11) - TIE Fighter Pilot,2014,225,4,213,225,Star Wars,217.0
197,293,1,4696-1,4339,Blue Bucket,2004,37,200,34,37,Basic Set,22.0
198,294,1,71005-4,7406,Lisa Simpson,2014,550,6,464,550,The Simpsons,535.0
199,295,1,lfv2-1,11418,Le Fleuriste Collector Vase - Happy,2010,301,297,531,301,Other,
200,297,1,10700-1,402,Green Baseplate,2015,365,1,541,365,Classic,
201,299,1,71236-1,7658,Superman™ Fun Pack,2016,604,48,608,604,Dimensions,
202,300,1,3482-1,2598,1 x 8 Red Bricks,2000,254,25,517,254,Bulk Bricks,
203,301,1,1462-1,916,Galactic Scout,1992,129,23,123,129,Blacktron II,126.0
204,302,1,75033-1,8023,Star Destroyer,2014,159,97,150,159,Mini,158.0
205,303,1,6825-1,6747,Cosmic Comet,1985,130,40,124,130,Classic Space,126.0
206,304,1,6687-1,6631,Turbo Prop I,1987,68,78,64,68,Airport,67.0
207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0
208,307,1,3746-1,2818,Locomotive Brown Bricks,2001,238,106,225,238,My Own Train,236.0
209,308,1,4653-1,4314,Dump Truck,2003,293,28,265,293,Construction,290.0
210,309,1,K4515-1,11248,Ultimate Track Kit,1992,244,15,231,244,9V,241.0
211,310,1,5036-1,4853,"Space Siren, 2 x 2",1987,443,1,570,443,Service Packs,
212,311,1,10201-1,183,Takutanuva,2003,347,3,310,347,Titans,324.0
213,312,1,2250-1,1613,Advent Calendar 2000,2000,207,240,195,207,Advent,206.0
214,313,1,7885-1,8771,Robin's Scuba Jet: Attack of The Penguin,2008,484,207,405,484,Batman,482.0
215,315,1,816-1,9207,"Lighting Bricks, 4.5V",1987,473,17,400,473,Supplemental,465.0
216,316,1,20208-1,1388,"MBA Level Three - Kit 9, The Dark Lair",2012,432,183,560,432,Master Building Academy,
217,317,1,9-2,10475,Trees & Flowers,1981,455,18,386,455,Classic Town,454.0
218,319,1,6479-1,6248,Emergency Response Center,1998,92,425,88,92,Res-Q,50.0
219,321,1,3641-1,2726,Car & Camper,1985,390,25,548,390,Fabuland,
220,322,1,221-2,1599,1 x 2 Bricks,1958,371,156,331,371,Supplemental,365.0
221,323,1,8010-1,9035,Darth Vader™,2002,158,390,510,158,Star Wars,
222,324,1,39-1,2940,Motor Gearbox,1977,443,1,570,443,Service Packs,
223,325,1,3300014-1,2404,Holiday Set 2012,2012,227,109,215,227,Christmas,206.0
224,326,1,1294-1,762,Fire Helicopter,2000,50,31,505,50,Town,
225,327,1,7216-1,7779,Gold Good Guy - looking Right (Duracell 8 pack AA) {Turaga Lhikan},2006,324,22,538,324,Bionicle,
226,328,1,4416-1,3972,Robo Pod,2006,479,64,403,479,Creator,478.0
227,330,1,10222-1,203,Winter Village Post Office,2011,227,821,215,227,Christmas,206.0
228,331,1,954-1,10659,Sky Copter,1978,4,364,2,4,Expert Builder,1.0
229,332,1,4758-1,4386,Hogwarts Express (2nd edition),2004,246,368,515,246,Harry Potter,
230,333,1,813-1,9170,"Baseplate, Green",1986,473,1,400,473,Supplemental,465.0
231,334,1,71011-9,7509,Janitor,2016,554,7,468,554,Series 15 Minifigures,535.0
232,335,1,659-1,6424,Police Patrol with Policemen,1975,421,49,364,421,Police,411.0
233,336,1,10680-1,383,Garbage Truck,2015,591,99,601,591,Juniors,
234,337,1,1499-1,943,Twin Starfire,1987,130,89,124,130,Classic Space,126.0
235,338,1,8942-2,10376,Jetrax T6 Limited Edition,2008,327,420,290,327,Battle Vehicles,324.0
236,345,1,40021-1,3019,Spiders Set,2011,230,54,218,230,Halloween,206.0
237,347,1,911618-1,10460,Flash Speeder,2017,158,43,510,158,Star Wars,
238,348,1,7165-1,7733,Natalie Breez,2010,401,19,350,401,Heroes,400.0
239,349,1,9462-1,10587,The Mummy,2012,558,91,588,558,Monster Fighters,
240,350,1,6989-1,6916,Mega Core Magnetizer,1990,136,509,130,136,M:Tron,126.0
241,352,1,520-12,5033,2 x 2 Plates - Red (architectural hobby und modelbau version),1962,252,42,516,252,Architecture,
242,353,1,5105-1,4917,"Pneumatic Cylinder, 64 mm",1987,453,1,384,453,Technic,443.0
243,354,1,7315-1,7879,Solar Explorer,2001,135,249,129,135,Life On Mars,126.0
244,355,1,4281-1,3869,Classic Trial Size,1999,470,25,397,470,Classic Basic,465.0
245,356,1,970630-1,10816,Pulleys (For micromotor pack of 10),2002,525,10,440,525,Technic,524.0
246,357,1,9553-1,10664,Jay ZX,2012,435,29,563,435,Ninjago,
247,358,1,42036-1,3785,Street Motorcycle,2015,13,374,11,13,Riding Cycle,5.0
248,361,1,970617-1,10803,12-Stud Axles (Pack of 50),2002,525,50,440,525,Technic,524.0
249,362,1,8649-1,9917,Nitro Menace,2005,116,621,111,116,Power Racers,112.0
250,363,1,837-1,9363,Wheels and Tires Parts Pack,1980,473,28,400,473,Supplemental,465.0
251,364,1,1419-1,888,Nokama (Kabaya Promotional),2001,356,27,319,356,Turaga,324.0
252,369,1,71005-15,7400,Chief Wiggum,2014,550,6,464,550,The Simpsons,535.0
253,371,1,8593-1,9860,Makuta,2003,347,199,310,347,Titans,324.0
254,372,1,3833-1,2886,Krusty Krab Adventures,2009,272,208,524,272,SpongeBob SquarePants,
255,373,1,6734-1,6671,Beach Cruiser,2002,407,54,556,407,Island Xtreme Stunts,
256,374,1,6470-1,6240,Mini Dump Truck,2000,97,25,93,97,Construction,94.0
257,375,1,40082-1,3081,Christmas Tree Stand,2013,228,115,216,228,Creator,227.0
258,376,1,315-2,2342,Container Transport,1976,363,84,539,363,Boat,
259,377,1,851210-1,9587,Lord Vladek Sword,2005,501,1,584,501,Gear,
260,378,1,71001-8,7353,Grandpa - Complete Set,2013,545,7,459,545,Series 10 Minifigures,535.0
261,379,1,3451-1,2561,Sopwith Camel,2001,276,575,527,276,Sculptures,
262,380,1,9853-1,10934,Assortment of Gears,1992,1,122,503,1,Technic,
263,382,1,5877-1,5452,Wedding Coach,2004,319,73,283,319,Fairy-Tale,318.0
264,384,1,9825-1,10914,Pneumatic Elements,1994,1,3,503,1,Technic,
265,385,1,6685-1,6629,Fire Copter 1,1982,74,98,70,74,Fire,67.0
266,387,1,41016-8,3354,"Advent Calendar 2013, Friends (Day  7) - Stand #2",2013,226,14,214,226,Friends,217.0
267,388,1,727-1,7838,12V Locomotive,1977,234,133,221,234,12V,233.0
268,389,1,6758-1,6694,Read & Build Grow Caterpillar Grow,2012,504,18,585,504,Duplo,
269,390,1,4576-1,4230,Duster,2001,125,7,120,125,Xalax,112.0
270,392,1,7219-1,7785,Dinosaur,2004,204,34,512,204,Designer Sets,
271,393,1,9222-1,10483,Duplo World People,2007,504,16,585,504,Duplo,
272,394,1,4551-1,4193,Crocodile Locomotive,1991,236,313,223,236,9V,233.0
273,395,1,7888-1,8773,The Tumbler: Joker's Ice Cream Surprise,2008,484,456,405,484,Batman,482.0
274,397,1,71014-15,7552,Mario Götze (19),2016,557,6,471,557,DFB Minifigures,535.0
275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0
276,401,1,40195-1,3175,Shell Station,2014,598,79,602,598,Promotional,
277,402,1,114-2,551,Small Train Set,1966,235,88,222,235,4.5V,233.0
278,403,1,76050-1,8449,Crossbones’ Hazard Heist,2016,493,178,414,493,Marvel,482.0
279,404,1,7687-17,8561,Advent Calendar 2009 City (Day 16) Street Cleaner,2009,220,5,208,220,City,217.0
280,405,1,970663-1,10838,Pneumatic Switch (Pack of 5),2002,525,5,440,525,Technic,524.0
281,406,1,8738-1,10039,Toa Hordika Whenua,2005,350,48,313,350,Toa Hordika,324.0
282,407,1,9857-1,10938,Assortment of Plate Pieces,1992,1,166,503,1,Technic,
283,408,1,7724-20,8625,Advent Calendar 2008 City (Day 19) Train Worker,2008,220,4,208,220,City,217.0
284,409,1,76036-1,8435,Carnage's Shield Sky Attack,2015,493,96,414,493,Marvel,482.0
285,410,1,3494-1,2611,2 x 2 Red Smooth Tiles,2000,254,100,517,254,Bulk Bricks,
286,411,1,6678-1,6621,Pneumatic Crane,1980,72,61,68,72,Construction,67.0
287,412,1,70005-1,6927,Laval's Royal Fighter,2013,571,416,593,571,Legends of Chima,
288,415,1,MS1032-1,11518,Infrared Receiver Sensor for Mindstorms NXT,2010,259,0,242,259,NXT,258.0
289,416,1,1690-1,1107,Helicopter,1990,68,27,64,68,Airport,67.0
290,419,1,7172-1,7740,Apple,2007,22,10,504,22,Creator,
291,422,1,6472-1,6243,Gas N' Wash Express,2001,76,473,72,76,Station,67.0
292,423,1,60096-1,5691,Deep Sea Operation Base,2015,86,905,82,86,Divers,50.0
293,424,1,710-6,7609,Baseplate Assortment,1984,443,10,570,443,Service Packs,
294,427,1,7957-1,8945,Sith Nightspeeder,2011,165,213,156,165,Star Wars Clone Wars,158.0
295,429,1,2027-1,1394,Pen Pack Alpha,2000,501,0,584,501,Gear,
296,431,1,70707-1,7196,CLS-89 Eradicator Mech,2013,146,439,140,146,Galaxy Squad,126.0
